 December 2022,5,A comfortable stay in a historic home,"Simon greeted us warmly, attended to us professionally, and advised us regarding opportunities in the area. He arranged our transfer to the desert tour team, removing concern regarding that transition. The hotel is a hidden gem, with a soaring courtyard, captivating detail work in the wood and the walls, and comfortable period refelctive rooms for rest. This is a great place, and Simin was the perfect ambassador for the unique hotel.",Riad_Braya-Fes_Fes_Meknes,hotelName,city
 April 2017,4,Lovely Riad,"We really liked Riad Braya. Location-wise, the riad is situated on the outskirts of the hectic medina which we quite liked. It is only a few steps away from the famous blue gate entrance of the medina. The riad, in general, is modern and clean. We were met with a dazzlingly white interior. Although our room was quite dark, once we stepped outside of the room, it was beautifully bright. I have to point out the roof terrace with breath taking views over the medina, we spent a lot of time up here, both in the morning while eating breakfast and in the evenings. We had booked a standard double room but on arrival we were told we were upgraded free of charge. Large comfortable bed, tv, good wifi, nice bathroom. Room was cleaned daily. Breakfast was wonderful! We were given a…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2017,5,Great Riad,"Visited in March 2017, great service all round especially from Mohammed. Arranged airport/ train station pickup with them also which was not too expensive. As we were the only guests at the time we were upgraded to the top room! Very nice, spacious and clean room. Location is good also, nice quiet spot amongst other riads and only 10 minutes walk from main market areas. Highly recommend to anyone visiting Fes.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2017,5,Very good experience!,"Excelent Riad inside Medina! Exclusive rooms with very good decoration, excelent breakfast! All the Staff was very friendly, kind and dedicated, specialy Simohamed and Hicham! I realy recomend to stay there! Close to most of local tourist atractions!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2017,5,Riad Braya and why it's the best hotel in Fes!,"I was in Fes on what was primarily a work trip (I'm a travel writer) and hadn't been to the city before. It couldn't have been a more perfect base. I was looked after so well and it had the feel of a super luxurious five star hotel but without the stuffiness - it felt so cosy and homely! This is awful but I've forgotten the name of the gentleman who looked after me while there - not 100 per cent sure if he was the owner or not - but he was the loveliest guy ever, going above and beyond and helping me with anything I needed. The rooms are beautiful - I was blown away by how amazing they are. Everywhere you look there's beautiful furniture, some of it really modern, the kind of furniture you'd find in a London design hotel. But at the same time it still feels like a very…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2017,5,The place to be in Fes,"Very beautiful and nice place in the Medina of Fes, the service was perfect and the staff is kind and friendly. The rooftop is amazing and has a wonderful view on all the Medina and the mountains behind.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 December 2016,5,Amazing/fabuleux !,"We went there and we were impressed by the amazing building we found behind the walls of the médina ( old city ). Riad braya is really beautiful and very well designed, food is great/delicious and rooms are stunning, very clean, and cosy. Owners make themselves available and do care about their hosts. Thank you for this fantastic experience !",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2016,5,Comfortable Stay and Lovely Staff!,"We stayed for 2 nights and we truly enjoyed our stay in Fes because of this comfortable and relaxing Riad. The staff that we had the pleasure of seeing was Mohammad and Hisham, and they were absolutely amazing. The most helpful and caring staff anyone can ever ask for. They treated me, my wife, and my 3 year old with royalty. The Riad itself is also very nice. It has a palace-like look from the inside. The morning breakfast is customized and a great kickstarter to the long day ahead!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2016,5,Thanks for the the Service for Mouhamad and Abdel Mi'em,"During our stay 25-28 Sep. 2016 we got a very good and clean room. These 2 gentelmen gave us a very good service, polit, kind and atentive. Breakfast was very special. The view from the roof was spactacular. Bathrooms were very clean and the smell of the soaps were wondeful/ We recomend staying in this hotel beacuse of the above.Many many thanks to Mouhamad and Abdel Mi'em. Iman and Rana Zuabi from Nazareth",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2016,5,Luxurious oasis in the middle of the Fez Medina,"After a long day of travel, we entered Riad Braya and were greeted by Mohamed with tea and cookies. We loved our room (for 30 - beds were extremely comfortable and the space was beautiful. Exquisite view from the rooftop of Fez. The winding alleys of the medina were difficult to traverse, but they met us at the entrance and arranged an escort to our dinner that evening. We were heading to the Sahara the next day; I would have loved to stay longer. Mohamed was there for us the entire time. Delicious Moroccan breakfast greeted us before we left for the Sahara.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2016,5,Excellent Riad,"I stayed here for 4 nights, under the great care of Mohamed - who was the kindest of hosts. The Riad is a beautiful oasis and all the staff could not have been nicer, and more accommodating. Overall exceptionally good experience. If visiting Fes, it would be the only place to stay.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2016,5,impeccable service and excellent riad,"I would have given a 6 stars rating if there is this option. We were welcomed by Mohammad, truly a gem in this riad that provide impeccable service. He speaks good English and make sure that all our needs were well catered to. When we checked in, Mohammad prepared some delicious Morocco snacks and mint tea for us. We stayed in 3 different Riad in Morocco and this is the only one that offer to fill up the security form for us. We were also given a menu to choose what breakfast options we would like to have and I must say that the selections are both sumptuous and delicious. The icing on the cake was the free room upgrade and a morocco sandal on the house! The room was spacious, well-maintained and nicely decorated. The roof/terrace offer excellent view, dont miss it! I'm…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2016,5,special stuff in Riad Braya,"We stay three nights. the riad is beautiful. The stuff are amazing and helpful, my thanks to Mohammed and abdelmenem for your help to organize our stay in Morocco. The view in the morning during taking our breakfast was spacial. Thanks",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 February 2016,5,Great Staff and service- Amazing Food-Mashallah,Customer service was absolutely amazing they went far and beyond to help us and avoided us from getting ripped off. They have not intention of making money out of you and are happy you are there. Food very Nice. Its in the Medina so its close to everything but there are no roads connecting so you will have to walk about a few minutes from the road to get to the hotel Regards Zamir,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2016,5,Incredible service; incredible room; incredible terrace!,"This truly was a fantastic stay - we booked the junior suite for our honeymoon but Mohammed had upgraded us without charge and without our knowledge until we realised at the end of our stay. The location is superb as well - it's on the edge of the Medina so very quiet and in a safe neighbourhood, but still close enough to reach shops, ATMs, taxis and good restaurants in a few minutes. Also, the view from the terrace is one of the best in Fes - eating breakfast up there each morning was one of the high points of our trip. Also take advantage of the airport pickup as the place is a little difficult to find if arriving at night and/or with lots of baggage - the service was professional and similarly priced to taxis if you're feeling a bit taken aback by Morocco. Our only regret…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2016,5,"Absolutely beautiful Riad, felt like a Princess!!","Where to begin, the Riad Braya is a beautiful oasis that makes you feel like you're entering your own little palace within the Medina. It has a perfect balance between traditional architecture and modern furnishings so you never feel overwhelmed. Upon arrival we were welcomed with biscuits and mint tea, as there was a slight confusion with our booking we got upgraded to a beautiful suite with a private balcony that overlooked the balcony. I can't be any more thankful to the staff for this upgrade as everything about the room and en suite bathroom was perfect. It made me feel like a princess looking over my very own court yard. I highly suggest paying the little bit extra for this suite. We also had the suite on the opposing side of the courtyard which had a high bed as well as…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2016,5,Outstanding personalised service,We stayed at Riad Braya and really enjoyed it due to the outstanding personalised service by Mohamed Ben Abbou who gave us really good information on the major attractions of Fes and how to get to them. His tips on how to best manage our way around the city came in very handy. He went out of his way to book transport for us. We were treated to the most sumptuous traditional Moroccan breakfasts which he personally served on the patio outside our room which overlooked the traditional Moroccan courtyard of the Riad. Upon our return on the second day we were greeted with beautiful roses that had been put in our room and hot traditional tea which was most welcomed. The traditional Moroccan dinner specially prepared for us by the Riad staff was an absolutely delightful experience and…,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2015,4,"Beautiful riad, good service","Stayed 3 nights here and had marvellous stay. Location wise it was rather difficult to find as it was located inside medina and we were a little adamant at first. But once we arrived we were very surprise and happy to see how immaculate and beautiful the riad was. The riad had few stories with rooftop terrace offering beautiful sunrise view over Fez. Our room was a beautiful suite in the ground floor with high ceiling, carved traditional double doors overlooking the swimming pool. Every morning our chosen breakfast (a mixed of morrocan and continental) was set on the table by the pool. Good quality of food and delicious too, though if we asked for second helping of tea there was charge for it. We were the only guests that time so it was very quiet and relaxing to come back after…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 December 2015,5,Oasis in the middle of the hustle and bustle of Fes,"I posted this review on hotels.com as well. But I am re-posting here since I want to make sure this place gets as much publicity as possible (it was that good!) This place is an oasis in the middle of the hustle and bustle of the old medina in Fes. It is centrally located so that you are right in the middle of the action. At the same time the decor and the ambience of the place is such that it has a very calming and relaxing effect after you come back from your day in the medina. The hosts are extremely helpful and friendly. They set us up with places to eat (even a place with authentic Moroccan vegetarian cuisine that was outstanding!!), tour guides for the medina and also Meknes/Volubilis. They were courteous and attentive to all our needs and paid attention to every little…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2016,4,Amazing Riad with high ceiling and yet modern,"If you appreciate the Moroccan culture and architecture but also want something comptempory at the same time then this is the perfect place for you. Loved to come home to the beautiful courtyard be it day or night, it just calms you down once you step in. The 2 attendants at the Riad are friendly and attentive but not helpful if you ask for advice on restaurants or directions, you need to come prepared where you would like to visit or dine and they are delighted to help you for reservations. The rooms are not big but comfortable, however, the room I had was very noisy each morning from the alley with kids shouting at 6:30 as the location is very close to a local high school. Overall, I would recommend this Riad as I have seen quite a few in the neighbourhood that was much…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 November 2015,5,Lovely riad,The staff could not do enough for you. Tried to cater for all your needs. Pick up from airport and guides arranged all arrived in time and were reliable. Dinner at the riad was expensive but the best meal we had in Fez. An oasis of calm.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2015,5,Great Big Suprise,"We got to the hotel (me and my two kids). Youssef opened the door and welcomed us to the most amazing, breathtakingly beautiful Riad. We got welcome tea and Moroccan cookies while he asked us for our shoe size to fit us with personal Moroccan slippers. We pre-chose our breakfast from an amazing selection. The service, the rooms, the hotel is the most beautiful, well decorated Riad. We felt like we were in a Moroccan palace. Amazing service and rooms. Youssef was there to guide us and help us. Super friendly service. My children didn't want to leave. Definitely we will be back - the kids (10 and 12) can't stop talking about it.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2015,4,decent enviroment,"Wonderful hotel with magnificent design in old medina and you can see the panoramic view of the medina from rooftop. Decent room. However, don't expect a lot of restaurants around. The hotel keeper did try the best to get you some sandwiches as late dinner as we came back late from visiting Sahara. If you want to try the Moroccan menu of the hotel, do inform them a day earlier. Other than this minor issue, the hotel is just so great.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 October 2015,5,Excellent Riad,"Having watched the Sex and the City movie where the girls travelled to mystical Morocco and stayed in a riad, my expectations were truly high when we checked into Braya and over the two night they were met to perfection. Breakfast was a splendid offering thanks to the host Yusof and the atmosphere fitted the mood very nicely. I highly recommend this for Fez vacation.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 September 2015,4,Would be perfect if not the parking,"First of all I want to thanks Mohammad (receptionist) who not only friendly welcome us but helped us to solve some problems with local people. He is really helpful, nice and friendly. Always first to help you and give you advice in this crazy city. The hotel is also really nice, clean, has great rooftop where you can have breakfast or drink. So everything is perfect. The only problem that we had was parking. This is not great hotel if you have car. On hotels.com was mention that there is a parking. The parking is on a street and it's quite hard to get there (especially when you are new in a town). In Fes there are a lot of local people who are trying to help you. But they want money for this and, yes they will help you get to your hotel, will show you where to park your car…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2015,5,Beautiful Riad and excellent staff!,"Our stay at Riad Braya was wonderful! The room was very clean, the Riad is beautifully designed and the staff is exceptional. The food is amazing - I highly recommend eating dinner here as well as the morning breakfast was delicious each day. Stay here and you won't be disappointed!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2015,5,Just perfect!,"Had the pleasure of spend four nights at this beautiful riad, and would go back in a heartbeat. The interior of this place is magnificent, a real paradise. While the hotel, rooms, rooftop patio and pool area were delightful, what made the experience even more special was the staff. Youssef was the most polite, professional and accommodating hotel manager, always making sure we were comfortable. He provided us with excellent recommendations for restaurants (even walked us to one that was a bit hard to find to make sure we'd find our way) and booked us great tours of Fez and the region. And as we were the only guests in the riad, we got upgraded to superior rooms. The restaurant in the hotel is also excellent. We even asked about a specific Moroccan dish we like that was no…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 August 2015,5,Beyond AMAZING!,"It's a beautiful Moroccan style riad in the middle of the old medina. The service is the best you can get, Youssef the host is the nicest man ever. We even got free Morrocan slippers from him. I would surely visit Fes again, just to visit this riad again.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 July 2015,5,"Beautiful, Clean, and Hospitable Staff",I had the luxury of being the only guest when I arrived and the staff upgraded me to a larger room. The area by the pool is great for lounging and chatting with friends. They have a modest bar and snacks. The terrace has an outstanding view and an area to sit and day dream. It is a beautiful riad in a quiet area. Joussef and Hicham were wonderful hosts and went above and beyond expectations.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2015,5,Fantastic place !,"Im a very difficult client .... But this place exceeded my expectations. Simply beaultiful decor , wonderful place .... Not to mentione VERY SECURE place to b in . With ur familly .... Or alone ! Either ur stayin there or just passing by , make sure to stop by for a nice dinner.... Or just a lil cocktail over vuing the entire old médina .",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 June 2015,5,Excellent staff and accommodation,I recently visited the riad Braya whilst in Morocco for work and it was absolutely excellent. The staff were highly accommodating and really made the stay pleasant. An absolute must if your visiting Fes. Will definitely use again.,Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2015,5,Beautiful calm Oasis in a colorful city,"Our first experience with Riad Braya was Mohammed meeting us at an area where our guide dropped us off as it was the farthest the vehicle could enter into the narrow streets. Within 2 minutes Mohammed was there greeting us with a warm smile and ready to take our bags. We chatted on the walk to Riad Braya and he gave us information on the Riad. As we entered it was a sense of going back into another time. The Riad is breathtaking and although the streets seem narrow and untraveled it really is a short walking distance from everything. We were served the customary welcoming mint tea with assorted pastries in the lovely courtyard as Mohammed prepared our documents for our stay. He left no detail out, he described dinner which is really what you want to do in Fez, eat in late…",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2015,5,Excellent experience,"Our daughter booked this hotel for us because it is located very close to where her host family lives (she has been studying at ALAF this academic year). We couldn't have been more pleased!! The staff is the most attentive & pleasant we have experienced in all our travels. The rooms are spacious & very clean. The food delicious etc etc. we would highly recommend this hotel!! Ps the staff booked drivers to give us private tours, even as far as Rabat.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 March 2015,5,Amazing place to stay,"Very clean, quiet and comfortable riad. Nice and helpful (not too pushy) staff. Cooked-to-order breakfast was excellent. We arrived too late for dinner. The staff instantly presented to make fresh Moroccan salads for dinner. They surprised us with a table full of salads at a very reasonable price. The riad also serves wine, which can be hard to find in the medina. The location is close to the main attractions of the medina.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 February 2015,5,Great stay,"From the welcome mint tea to the farewell speech by our host (Mohammed), every minute at the Riad Braya was great! First, the restoration of the beautiful property is neat. Decoration also beautiful and luxurious. Very important to mention that rooms are immaculately clean and very comfortable. We stayed in a suite and all the furniture was classy and luxurious. The rooftop terrace offer a really nice view of the Medina. Since it is in the center you can walk to the main attractions in a few minutes. Best of all is the service. Our host Mohammed took care of us to the minimum detail. Breakfast included was fresh and always served beautifully. Also made very good recommendations and arranged all our tours. All the staff was more than kind. We highly recommend Riad Braya.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 January 2015,5,A elegant hotel with a quaint old-times charm,"My family spent three nights at Riad Braya. It made the trip to Fes memorable and special. The hotel is located in the Medina (walled city) and has an elegance that is equisite. Its rooms are well maintained and provides an ambience that takes one back in time. The staff at the hotel or among the most courteous one has seen. They guided us on the places to see in and around Fes, looked after us and made us feel truly at home. The sumptous customized breakfast was a wonderful way to begin our day. If you visit Fes, dont miss out on the hospitality of Riad Braya.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 December 2014,4,The closest to perfect,"One of the best hospitality property and service i have experienced - nice atmo, lovely suites, decent location, good price, good food and above all, excellent service from very attentive Riad staff. Very highly recommended!!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 December 2014,5,Memorable trip!!!,"Went on advice from a friend who is originally from Fez for our wedding anniversary: greeted with a lovely surprise in our suite! The Riyad has been beautifully and authentically restored by Mr Benkirane. The warm, friendly staff gave a lot of helpful advice on tours and shopping in the medina. A wide variety for breakfast (moroccan and continental). Clean, comfortable spacious suites. Quiet and practical location in the Medina: easy access to the souks and the taxis, 2min drive to the mall when you want a break from local cuisine. Overall great experience, would definitely recommend!!!!",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2014,3,Content Aussie travellers...,"This riad is gorgeous with an amazing view from the rooftop, where we enjoyed a fabulous breakfast everyday of our stay. The rooms are well decorated and extremely clean, however the bathroom wall is glass and therefore lacked privacy when on the toilet - this is a big pet hate of mine... It is in a great location though and it is really easy to walk to the old walled city centre. The staff were very friendly but attention to detail with service was slightly lacking. We often couldn't find staff to assist us when needed and they were unable to provide us with the relevant information we required for travelling to Chefchaouen, which was unhelpful and really hindered our travel plans. Overall, the riad is lovely though and we had a nice experience.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 April 2014,3,Almost,"This is a lovely. Staff are friendly and try very hard. The manager arranged train tickets for us which was very nice and saved us a lot of trouble before arriving we arrange for a lovely meal. The Riad is very clean and our room was large and comfortable. They also arranged a guide for us, we did ask at the last minute, but the guide was not very good and only took us to commissioned shops and no sites. Our second night we requested dinner again, in their defence we didn't prearrange it, but dinner took over an hour to be served although they did apologize we sat for over an hour with being offered bread a drink or anything. Overall we would stay again and as this is a relatively new Riad I'm sure they'll work out the kinks in the future.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 May 2014,5,Stay here!,"We were in constant disbelief that this incredibly elegant riad was host to only 7 rooms! The courtyard was grand and gorgeous, the rooms were comfortable, unique and spacious, and the expansive terrace offered amazing views of the medina, Fezand beyond. You will feel like you are staying in a palace! Be sure to take advantage of having their delicious breakfast up on the terrace. Josef and his staff were accommodating and always pleasant. We would highly recommend staying at Riad Braya.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
 December 2013,5,Excellent place to stay in Fez,"My wife and I stayed there for three nights in mid December 2013. We had a great experience and a great stay. The staff was extremely friendly and helpful, they really treated us as their personal guests. We had a problem with our luggage and the airline and they really helped us. The main room/lobby is stunning, the guest room we stayed in was large, well appointed, and very clean. We had breakfast every morning on the roof; great view and great breakfast. (Could use a curtain around the shower). If you go to Fez and want to stay in the old medina stay here.",Riad_Braya-Fes_Fes_Meknes,Riad_Braya,Fes_Fes_Meknes
