 August 2022,4,Aug 31- Sep 1,"In a quiet location, this hotel was really good. was very comfortable on their bed and had a good night sleep, their AC was working very well. I had a complaint in the shower but they fixed it immediately so no harm, the staff were nice, I recommend it.",Hotel_Astrid-Casablanca_Casablanca_Settat,hotelName,city
 May 2022,1,It’s worth paying more to stay somewhere else. Badly needs renovation and a deep clean.,We don’t like to write bad reviews so we hope that if anyone from Astrid reads this they take it constructively. Pros: the desk staff did try to be helpful. They seemed friendly although we struggled with communicating. The desk staff let us cancel our three-night booking after the first night without any charge. Cons: the bedding was faded and musty. It was hard to tell how clean it was. The shower was dirty. The air conditioning was broken. There was no remote control for the TV. There was no information in the room about the hotel and its services. The beds themselves were uncomfortable and the hotel generally felt unsafe and dirty. There were banging noises throughout the night and the walls were thin. Don’t be fooled by the photos - even the sign outside has completely…,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 May 2019,5,Just what we needed,"Great little hotel. Location within walking distance of sightseeing objectives. Attentive front staff. Breakfast was orange juice, good coffee, croissant.. Room was a bit short on power plugs, but we made due. I would be quite happy to return.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 May 2019,4,Great authentic local hotel,"Our experience mirrored Andre B and Ed M. Location was convenient, and the front desk staff was patient and helpful. Room 202 was spacious for our needs. It is not the sheraton or marriott or other chain - it is a charming, very reasonably priced, safe and memorable older hotel.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 May 2018,4,Great little hotel with very good service!,"I enjoyed my short stay here. The breakfast was quite good and the staff was helpful with orientation. The room was comfortable, clean, and larger than I expected. The interior decorations were also a nice touch. One of the highlights really of staying in the city.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2019,4,Nice Hotel in the city center.,This hotel has very comfortable rooms and is located in the heart of the city. It has an authentic Moroccan feel but is a little on the older side but great for the price. Staff are very welcoming and helpful. The breakfast is good.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 March 2018,1,Really unpleasant stay,"I will say that the front desk staff were kind and friendly! The rest of the hotel was just awful. The sheets on our bed looked used due to traces of different hair on them, and I asked for a new set. I suspect the mattress had bed bugs due to black markings around the edges and then we woke up with several bites. The bathroom is really icky, but not terrible dirty. I think they try to keep the rooms moderately clean, but it still felt really unclean and smelled like toxic cleaners. Super outdated. The rooms did not match what we expected on the site or pictures. I would not recommend staying there, even for the price. We paid 40Euro, and I would have rather spent a few more bucks and not have to guarantee my whole suitcase from possible bed bugs. I am sorry but it just did not…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 December 2017,3,Astrid is here but Ingrid wasn't,".........as in Ingrid Bergman of ""Casablanca"". A no-nonsense hotel in the Ville Nouvelle with decent staff and clean ambience, although my room when seen in daylight looked a bit dingy. Breakfast is not included in the price and while this hotel is a bit short of character (apart from the zellij ceramic tiles in the lobby), it is adequate.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 August 2017,4,The run of the mill budget hotel,"If you're looking for something cheap, basic, and gets the job done, you've found the right spot. Nothing fancy. Place is clean. Stayed here on the last night of my two week Morocco trip with my wife. The concierge was nice and provided us with extra towels. He promised us a taxi the following morning, but he forgot. Not a big deal but everything worked out.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2017,3,Quite good,I spend three nights in Hotel Astrid. All of them in different rooms. Rooms where good: clean and comfortable. Bathrooms were also very clean but they look used-up and require renovation. The good thing about this hotel is that reception works 24h so there is no problem when you're coming in the night. The worst thing is quite noisy elevator (actually the doors) that kept me waking up in the night when some other guests were coming or going. Also the neighbourhood is not quiet (it's the center of Casablanca) so take ear plugs. The location of Hotel Astrid is very good: it's close to the Place Mohammed V and tramway stop. It is also a short taxi ride from Casa Port railway station where many trains starts or ends. In the neighbourhood of the Hotel there are many places to eat…,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2017,4,Very good,Great location in quiet narrow street in city center close to everywhere if you no have problems with walking by foot. Lot of restaurants around. Spacious clean rooms with balcony and big bathroom. Helpful staff. Basic continental breakfast.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 September 2016,4,The best of a bad bunch of budget hotel in Casa,"Casablanca is relatively expensive for hotels, Ive tried most of the budget options and this one is probably the best value. Good location near Mohamed V tramway and lots of cheap places to eat. Wifi is good. Has a lift and reception staff are helpful. Downsides are the very old bathrooms and breakfast is not included but cheap cafes nearby anyway.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2017,4,My stay at Hotel Astrid,"I spent 4 days here in January 2017. The hotel has a elevator which is rare for hotels or Hostels in Morocco. The Hotel has Wi-Fi that even works upstairs , which is also rare for Moroccan Hotels or Hostels. The hotel is in a central location. The hotel is like 5 blocks away from a tram the station name is ""place Mohammad V "". The hotel is less than 1/2 block away from restaurant Al-Mounia. The beds were comfortable. The hotel has T.V ,a balcony, and serves breakfast for 35 dirhams. The only thing I didn't like was the towels they were clean but were very rugged",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 December 2016,4,Cash ONLY!!! No Credit Cards.,I really enjoyed this hotel. The price and location where perfect for our needs to explore Casablanca. The best part of the hotel is the awesome cappuccino coffee and espresso for only $1 per cup. The worst part was the tiny closet with a toilet inside. It's the perfect size for a small child.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2016,5,Great deal!,"Staff was helpful, especially with directions - first time in Casablanca = easy to get lost! Room was clean and comfortable, and featured two chairs and a coffee table by the window! Only bad part was the view - wall of neighboring building under construction - but who would expect a good view at $35/night?",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 August 2016,4,"""Amazing location - casa tramway make it easy to travel in Casablanca""","Arriving from trainstation Casa Voy. with Casa Tramway /7dirham/ to place Mohamed V. /6 station = 10 min./ After 5 min waling to Astrid Hotel. Queiet location, cheap food everywhere. I get room 104, strong wifi in the room, clean with new bathroom and small balcony. The hotel street is between 19.00 - 24.00 is loud, because of moroccon people living there. The location for me was amazing, walking street with shopps and coffees 1 min walk, very safe area even at night. The hassan mosque is 3 km /i was walking 20 min/ easy to find. Medina is 5 min fron the hotel. Beach by tramway 25 min, last station Ain Diab Plage Terminus /6 dirham, load your ticket card before departure for the way back because there will be full of people to make loads on their cards/. Casablanca is…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2016,4,"Good value, would certainly rebook at the Astrid","Pretty good value. I paid 325 Dh/night as a single person in a double room for 2 nights, April 10-11. The place is very clean, beds are top quality. Plenty of hot water in the shower. WiFi in the lobby only, not in the rooms. Good elevator. Interior décor is rather elegant. Staff is friendly, helpful, good English. Roof terrace is not available. Location is excellent, in the midst of Casa’s Art Deco ‘downtown,’ and a 5-min walk from the tramway stop at Marche Central, fast tram to Casa Voyageurs for train to the airport. Breakfast at 32 Dh seemed a bit pricey for me, so I didn’t try it. Good breakfasts available for 22 Dh in the workmen’s cafes/restaurants two blocks north, across Ave. Lala Yacout.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2016,2,Seen better days,"Some places are cheap but provide value for money. This may have been the case for Hotel Astrid in the past but now it is just cheap and nasty. The place has had better days and it is dusty, smelly and dirty. It needs a good vacuum clean and wash. We were given a spacious room on the 4th floor but has some machinery operating all night outside our window which was continually switching on and off. So no sleep. We asked about it in the morning and was told it was a water pump which they would turn of that evening. Nothing happened so that evening we complained and was offered a spare room, tiny with two single beds so ended up staying in our room and another sleepless night. Front rooms facing the street are small, a bit noisy while some on the top floor have balconies. The…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2015,3,"It's ok, but pretty noisy.","It's a fine hotel. Nothing nice or fancy, but kept clean (in fact expect a waft of bleach to hit you every time you return to your room after it's cleaned) and comfortable. The noise though? It's bad. We were three floors up and it didn't do us any good. There's a local bar or something across the street and it stays boisterous til 11 or so, but if that doesn't keep you up the traffic will. Bring earplugs.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 November 2015,4,Great staff and quiet room in the bustle of Casablanca,"My room was basic, with a clean ensuite bathroom, but the toilet was a little wobbly when sat upon. Staff, from the reception to the bellhop to the cleaning ladies were very kind and as stated, it's surprisingly quiet considering the environs. I wold stay here again.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 May 2015,3,Good Price-quality hotel,"This hotel is good price-quality option. The rooms are good and the airco works fine. Bathroom looks a bit old-fashioned but is clean. 24/h service and the staff speaks a little bit of English. Breakfast is good, but not included in the price. Around the corner little shops to buy cheap food (e.g fruits) and drinks. Also some nice restaurants a located in the surrounding.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2015,4,Very modest but comfortable place for a last hurrah in Morocco,"We just wanted a place to perch for a last night in Casablanca. Had stayed in the Medina, near the souk in Marrakech and wanted something more basic for a quicker getaway. Ended up staying two nights. I wouldn’t book this one for an extended stay, but it was fine for us for these last two nights. We liked that it was out of the crazy tourist areas and we could explore some of the “regular” parts of Casablanca. Also, it was really close to the streetcar, which we took out to La Pacha Hammam for our last spa. Don’t expect champagne for beer prices.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2015,3,Would not choose this hotel again...,"The room and location are ok. The bathroom is dirty and this was a big deal for me. The biggest problem was the staff that would not help with anything and one guy even cursed at me in french not knowing I can speak and understand. The breakfast is not included and it costs 35 dirhams, it's not excellent but not bad either. I reccomend choosing another place to stay...",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2015,2,"Dirty, uncomfortable, and loud.","I'm on day 3 out of 6 at Hotel Astrid and though I haven't finished my stay here yet, I could not wait to share this review. Upon arriving at the hotel on my first day, the young man at the reception desk was very nice and spoke some English which was helpful. I got a room on the 2nd floor (room 204). The room is pretty small with really old furniture and ugly old bedspreads that are dark colored (making it impossible to tell how clean they really are). The bathroom is a decent size with a tub and a half shower curtain and there is a small balcony where 2 people can stand (if you want to stand close together!). I know the hotel is very cheap (which is why I chose it, plus it had decent reviews here) but the cleanliness and comfort of the accommodations are NOT GOOD. I found…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 March 2015,4,Good hotel for a very decent price,I have been staying in hotel Astrid several times. It is centrally located. The service is good. The breakfast is good. It is an old hotel and it is not the latest in the bathrooms etc but the beds are ok and if you want a good place to sleep and have breakfast for a very decent price it is to be recommended!,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 March 2015,2,Weak Compared to Other Moroccan Hotels,"The hotel in general was not very home-y, or comfortable. The beds were somewhat stiff, the room smelled heavily of smoke, and the shower had no curtain or wall, meaning that our bathroom floor was somewhat flooded after 2 short showers. It's relatively cheap and is in a decent location, however, it was definitely the weak link among the places we stayed in for similar prices across Morocco.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 January 2014,4,Was Food for an Overnight Stay,"The room was simple but clean and comfortable. It was close to the market and the restaurant next door, considered onsite, was very good. We took a walk, however, we had to cut it short because it poured and we got drenched. Romantic nonetheless.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 July 2014,4,"Good place to stay, close to central and good price!","The hotel staff are friendly. The location is good and the room is clean. We stay here for 3 nights and we had a wonderful days here. The wifi is available on the ground floor but not in the room. Many restaurants,tea houses, grocery shops and others shops nearby and also fast food chain like Mc D, KFC and Pizza Hut. We went here during Ramadhan -fasting mounth and all restaurants are closed and only Mc D is available from 11 am. The hotel didnt provide food during fasting month , so pls take a note. Walkable to the medina too.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 September 2014,4,Good budget option,"I visited with my girlfriend and chose hotel astrid because it was the cheapest option we could find. Our room ended up being really nice, the wifi worked and the staff was very friendly. A great option for a low price.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 September 2014,4,"Affordable, good location","Clean and simple, perfect for our overnight stay. Great location right next to a fantastic restaurant al-mounia and the central city sights. Patchy free wifi available in the lobby. English speaking helpful staff.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2014,3,Average,"Our air-conditioning worked, our TV worked, our toilet and bathroom were a bit shabby but use-able. We used it as a stop over, not to hang out at or spend time at, and this is what i'd recommend it for.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 August 2014,2,Awful Hotel,"I don't know if it was because Casablanca is such an awful city but I was already well fed up before I even checked into this hotel. ""At least we can just sit in our room for the rest of the night and chill out until the morning"" exclaimed James, hoping to avoid having to spend any time in the city of Casablanca. I nodded and made my way to the room. The first issue we had to deal with was an influx of flies (at least 15) flying in a pack in the middle of the bedroom. This wasn't such a big issue as it allowed us to kill 30 - 45 minutes as we hunted down every fly and destroyed them. After that minor victory we realised that WI-FI didn't work in our room, conveniently it only worked on the first two floors and we were situated on the third floor. Not to worry - I'll just…",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2014,4,Average,This hotel was average. The room was clean with an en-suit bathroom. However our window into our bedroom didn't lock but thankfully nothing was taken. There was no breakfast included in the room. I cannot comment on the location as I wasn’t in Casablanca long enough.,Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 June 2014,4,A good choice for those on a budget,"We stayed in Hotel Astrid for two nights in June 2014. The rooms were clean although a little drab, however for the price it was quite nice. The staff were friendly and helpful and the airport taxi pickup was a great service.",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
 April 2014,4,Good price/quality ratio!,"i've been there for one night because I had a stopover in Casablanca. The price is ok, the hotel is clean and it has all the primary services. I would recommend the hotel. The staff is really kind. The only thing I didn't like it was the area around the hotel during the night, I didn't feel confident, It doesn't look safe. Thank you!",Hotel_Astrid-Casablanca_Casablanca_Settat,Hotel_Astrid,Casablanca_Casablanca_Settat
